# Collocations

# Corpus: nature_full
# Query:  word,[lc="carbon"|lemma_lc="carbon"] 38866

	Freq	T-score	MI	logDice	
dioxide	3927	62.615	10.277	11.541	
organic	3219	56.531	8.108	10.912	
cycle	1561	39.263	7.325	9.939	
source	1126	33.326	7.186	9.545	
nitrogen	1085	32.644	6.803	9.415	
dissolved	854	29.088	7.754	9.305	
nanotubes	739	27.155	9.860	9.244	
inorganic	744	27.189	8.286	9.177	
soil	962	30.439	5.748	8.962	
sources	680	25.905	7.243	8.953	
isotope	650	25.331	7.280	8.901	
emissions	664	25.526	6.734	8.844	
atmospheric	698	26.089	6.320	8.816	
storage	586	24.077	7.538	8.798	
sequestration	515	22.656	9.248	8.720	
global	761	27.038	5.653	8.713	
monoxide	495	22.231	10.333	8.686	
fixation	522	22.697	7.248	8.618	
cycling	505	22.355	7.578	8.606	
black	523	22.596	6.388	8.499	
sink	426	20.574	8.302	8.422	
uptake	453	21.007	6.263	8.306	
terrestrial	408	20.004	6.698	8.240	
nanotube	347	18.604	9.582	8.170	
atoms	351	18.639	7.610	8.121	
fluxes	363	18.893	6.901	8.112	
flux	386	19.344	6.017	8.073	
total	482	21.260	4.983	8.050	
balance	342	18.341	6.926	8.036	
metabolism	366	18.780	5.768	7.965	
isotopic	308	17.384	6.729	7.881	
stocks	281	16.710	8.315	7.844	
net	285	16.675	6.351	7.742	
energy	360	18.311	4.840	7.720	
sole	253	15.868	8.722	7.707	
on	1352	33.277	3.396	7.697	
content	313	17.229	5.257	7.680	
particulate	251	15.784	8.075	7.679	
concentrations	350	17.995	4.713	7.652	
budget	246	15.614	7.790	7.641	
sinks	241	15.477	8.350	7.630	
of	9371	85.099	3.048	7.602	
and	7299	75.082	3.045	7.589	
from	1562	35.252	3.210	7.575	
assimilation	219	14.717	7.510	7.469	
activated	222	14.726	6.421	7.423	
export	210	14.386	7.108	7.393	
in	4880	60.230	2.859	7.389	
as	1217	30.667	3.048	7.382	
into	405	18.447	3.585	7.290	
burial	185	13.551	8.063	7.251	
forest	212	14.207	5.366	7.243	
exchange	198	13.855	6.027	7.237	
oxygen	234	14.711	4.705	7.230	
Dioxide	179	13.367	10.145	7.230	
single-walled	174	13.180	10.291	7.190	
materials	204	13.878	5.141	7.160	
