# Collocations

# Corpus: nature_full
# Query:  word,[lc="iron"|lemma_lc="iron"] 9677

	Freq	T-score	MI	logDice	
oxide	312	17.615	8.519	9.479	
ferrous	200	14.138	11.663	9.354	
formations	192	13.851	11.232	9.281	
ferric	187	13.669	11.108	9.239	
fertilization	200	14.124	9.626	9.211	
manganese	151	12.276	9.983	8.881	
oxides	127	11.253	9.395	8.602	
limitation	136	11.621	8.153	8.503	
uptake	180	13.307	6.937	8.380	
availability	141	11.805	7.414	8.346	
deficiency	108	10.371	8.918	8.343	
dissolved	149	12.126	7.241	8.341	
acquisition	117	10.772	7.914	8.281	
banded	93	9.640	11.220	8.267	
oxidation	170	12.919	6.772	8.260	
supply	113	10.572	7.520	8.149	
reduction	172	12.955	6.361	8.061	
III	122	10.951	6.864	8.020	
phosphorus	88	9.330	7.529	7.875	
zinc	77	8.748	8.326	7.843	
homeostasis	71	8.382	7.572	7.634	
concentrations	159	12.346	5.580	7.548	
enrichment	78	8.748	6.721	7.542	
Mountain	57	7.541	9.706	7.538	
transport	106	10.123	5.896	7.484	
sulfur	62	7.817	7.112	7.388	
stress	98	9.714	5.738	7.348	
anaerobic	72	8.380	6.338	7.342	
II	98	9.711	5.715	7.336	
overload	48	6.925	10.989	7.326	
metabolism	92	9.417	5.782	7.324	
cycling	64	7.918	6.604	7.304	
reactive	51	7.090	7.107	7.158	
copper	51	7.080	6.856	7.112	
hypothesis	60	7.627	6.028	7.063	
requirements	44	6.593	7.377	7.018	
nanoparticles	56	7.367	6.004	6.989	
sulphur	46	6.722	6.812	6.983	
Fe	60	7.605	5.782	6.974	
content	79	8.659	5.277	6.959	
release	58	7.463	5.640	6.889	
sulfide	40	6.282	7.203	6.876	
sulphide	40	6.274	6.980	6.844	
iii	38	6.129	7.440	6.839	
chelators	34	5.828	11.011	6.834	
formation	92	9.261	4.860	6.804	
deposition	47	6.744	5.942	6.797	
atoms	40	6.254	6.482	6.757	
metallic	33	5.723	8.049	6.706	
starvation	33	5.705	7.183	6.630	
pumping	30	5.462	8.487	6.600	
bound	38	6.068	5.998	6.590	
mononuclear	29	5.377	9.403	6.583	
particles	50	6.877	5.186	6.575	
involved	59	7.422	4.892	6.557	
minerals	32	5.605	6.782	6.540	
sulfate	35	5.834	6.170	6.539	
storage	39	6.119	5.635	6.516	
speciation	30	5.436	7.065	6.495	
chelation	27	5.191	10.104	6.495	
atom	29	5.352	7.328	6.478	
free	37	5.958	5.613	6.456	
haem	27	5.180	8.370	6.450	
oxidizers	27	5.179	8.205	6.442	
phases	31	5.498	6.309	6.426	
concentration	72	8.097	4.451	6.414	
cellular	49	6.760	4.867	6.412	
non-heme	25	4.998	11.667	6.397	
status	30	5.407	6.288	6.384	
source	50	6.799	4.699	6.342	
experiment	45	6.472	4.829	6.330	
added	43	6.334	4.877	6.317	
sulphides	24	4.888	8.748	6.300	
ii	27	5.140	6.536	6.295	
superparamagnetic	23	4.793	10.917	6.274	
addition	60	7.372	4.371	6.268	
intracellular	35	5.753	5.183	6.262	
sulphate	29	5.287	5.778	6.241	
Formation	26	5.039	6.417	6.231	
reduced	48	6.629	4.535	6.228	
accumulation	35	5.742	5.087	6.228	
sulfides	22	4.686	10.055	6.202	
nickel	23	4.773	7.696	6.196	
