# Collocations

# Corpus: nature_full
# Query:  word,[lc="nitrogen"|lemma_lc="nitrogen"] 14527

	Freq	T-score	MI	logDice	
and	3837	56.607	3.537	6.690	
of	3314	50.211	2.968	6.125	
in	2715	47.281	3.433	6.581	
.	2693	38.993	2.008	5.170	
,	2426	31.481	1.471	4.634	
the	1810	30.766	1.853	5.012	
fixation	1490	38.567	10.181	11.312	
(	1110	23.248	1.726	4.880	
carbon	1031	31.804	6.718	9.395	
to	959	25.388	2.473	5.610	
)	703	13.860	1.067	4.220	
liquid	649	25.414	8.699	10.039	
for	584	19.735	2.447	5.565	
by	582	21.101	2.996	6.090	
cycle	538	23.038	7.208	9.310	
phosphorus	495	22.216	9.435	9.887	
from	454	18.347	2.847	5.929	
is	443	17.168	2.440	5.541	
with	435	16.897	2.397	5.500	
a	432	13.768	1.567	4.698	
on	405	17.739	3.077	6.132	
deposition	394	19.792	8.424	9.431	
as	372	16.435	2.758	5.827	
cycling	330	18.112	8.384	9.221	
that	325	13.550	2.009	5.110	
:	309	13.262	2.026	5.122	
source	281	16.591	6.603	8.522	
inorganic	250	15.755	8.132	8.849	
fixed	244	15.546	7.720	8.737	
organic	235	15.045	5.752	7.985	
oxygen	234	15.078	6.125	8.164	
The	233	10.447	1.664	4.758	
limitation	220	14.784	8.261	8.717	
total	219	14.414	5.265	7.669	
reactive	218	14.727	8.617	8.754	
under	218	14.257	4.861	7.416	
soil	217	14.277	5.019	7.515	
metabolism	213	14.422	6.407	8.204	
or	205	12.231	2.779	5.768	
gas	200	13.962	6.292	8.104	
was	179	9.671	1.851	4.910	
sources	176	13.140	6.713	8.127	
availability	176	13.173	7.148	8.242	
at	176	9.827	1.947	4.997	
;	169	9.988	2.110	5.140	
content	165	12.607	5.753	7.719	
N	164	12.407	5.004	7.342	
are	158	8.159	1.511	4.581	
global	152	11.870	4.749	7.149	
rates	150	11.846	4.931	7.244	
marine	150	11.785	4.727	7.128	
dissolved	145	11.919	6.616	7.899	
uptake	141	11.689	5.999	7.679	
oxides	138	11.723	8.928	8.183	
assimilation	128	11.274	8.155	8.020	
atmospheric	126	10.934	5.270	7.288	
into	124	10.003	3.297	6.071	
isotope	123	10.950	6.298	7.639	
loss	118	10.628	5.530	7.343	
fix	115	10.710	9.604	7.967	
stored	113	10.549	7.031	7.711	
atoms	113	10.567	7.394	7.769	
addition	109	10.023	4.646	6.878	
inputs	107	10.294	7.676	7.737	
species	106	9.089	3.093	5.861	
al.	104	6.255	1.371	4.405	
mineralization	98	9.870	8.394	7.687	
were	98	4.419	0.853	3.921	
such	93	8.489	3.063	5.791	
input	93	9.540	6.534	7.389	
during	90	8.334	3.040	5.762	
can	88	7.454	2.284	5.166	
Carbon	85	9.135	6.776	7.327	
available	83	8.784	4.803	6.746	
compounds	83	8.846	5.109	6.868	
between	81	6.936	2.124	5.014	
involved	81	8.668	4.763	6.708	
dynamics	80	8.629	4.825	6.724	
atmosphere	80	8.736	5.426	6.943	
concentrations	78	8.267	3.967	6.289	
using	77	6.522	1.962	4.867	
fertilizer	76	8.696	8.612	7.353	
levels	76	8.058	3.723	6.134	
genes	75	7.324	2.696	5.439	
stream	75	8.600	7.170	7.225	
adsorption	74	8.548	7.304	7.223	
sulfur	73	8.465	6.762	7.139	
cycles	71	8.211	5.290	6.783	
removal	69	8.196	6.235	6.984	
analysis	68	6.631	2.352	5.144	
more	67	6.712	2.474	5.232	
through	66	7.145	3.053	5.636	
rate	65	7.308	3.418	5.861	
fertilization	64	7.953	7.396	7.042	
may	63	6.632	2.604	5.304	
supply	63	7.821	6.091	6.850	
concentration	63	7.314	3.672	5.988	
use	62	7.189	3.524	5.895	
biological	62	7.499	4.392	6.329	
dioxide	61	7.659	5.688	6.730	
which	61	4.561	1.265	4.225	
increased	60	7.056	3.488	5.854	
J.	60	2.322	0.514	3.554	
an	59	3.943	1.039	4.022	
oceanic	58	7.450	5.522	6.635	
forms	58	7.450	5.521	6.635	
anthropogenic	57	7.443	6.142	6.741	
high	56	6.265	2.619	5.265	
response	56	6.688	3.234	5.664	
has	56	5.481	1.902	4.732	
flow	56	7.015	3.998	6.072	
microbial	56	6.385	2.768	5.368	
water	55	5.984	2.372	5.083	
oxide	55	7.244	5.429	6.554	
transformations	55	7.396	8.521	6.902	
than	55	5.471	1.931	4.749	
effects	55	6.685	3.342	5.717	
per	53	6.444	3.122	5.565	
isotherms	53	7.266	8.976	6.864	
--	53	6.273	2.854	5.397	
sulphur	53	7.196	6.430	6.695	
new	52	6.401	3.155	5.573	
%	52	3.893	1.120	4.068	
additions	51	7.120	8.365	6.791	
symbiotic	51	7.061	6.476	6.652	
other	51	5.476	2.100	4.853	
not	50	3.920	1.166	4.099	
losses	50	7.001	6.655	6.648	
role	50	6.403	3.403	5.690	
-	50	2.700	0.694	3.689	
used	49	5.036	1.834	4.636	
ratio	48	6.472	3.926	5.918	
CO2	48	5.993	2.889	5.367	
plant	47	6.233	3.462	5.679	
after	47	5.644	2.501	5.105	
excess	47	6.756	6.099	6.499	
control	47	5.864	2.790	5.294	
regulation	47	6.555	4.511	6.128	
R.	47	4.264	1.403	4.281	
isotopic	47	6.697	5.436	6.381	
have	47	3.500	1.031	3.970	
when	46	5.860	2.878	5.337	
blue	46	6.338	3.931	5.885	
doping	45	6.689	8.479	6.621	
starvation	45	6.657	7.044	6.547	
limited	45	6.442	4.654	6.131	
reduced	45	6.245	3.856	5.835	
over	44	5.357	2.377	4.991	
budget	44	6.571	6.727	6.490	
particulate	44	6.581	6.983	6.512	
A.	43	3.127	0.935	3.870	
emissions	43	6.202	4.205	5.936	
be	43	1.506	0.376	3.383	
Total	43	6.471	6.253	6.409	
sorption	42	6.462	8.431	6.523	
but	42	4.523	1.727	4.503	
this	42	1.636	0.420	3.418	
amide	41	6.380	8.105	6.478	
iron	41	6.026	4.086	5.849	
pollution	40	6.273	6.952	6.383	
adsorption-desorption	40	6.319	10.245	6.484	
phosphorous	40	6.319	10.064	6.482	
stable	40	6.031	4.431	5.945	
could	39	5.063	2.401	4.948	
including	39	5.477	3.024	5.321	
M.	39	2.278	0.655	3.609	
fixers	39	6.237	9.615	6.441	
transfer	39	5.826	3.896	5.731	
conditions	39	5.141	2.500	5.012	
export	38	6.072	6.061	6.229	
fixing	38	6.153	9.129	6.397	
also	38	3.580	1.254	4.102	
dried	38	6.084	6.261	6.253	
active	38	5.667	3.631	5.599	
external	38	4.913	2.300	4.869	
utilization	38	6.083	6.234	6.250	
mineral	38	6.038	5.609	6.164	
nitrate	38	5.918	4.647	5.957	
amount	37	5.773	4.297	5.826	
A	37	2.826	0.901	3.807	
N2	37	5.902	5.074	6.032	
different	37	4.252	1.733	4.461	
isotopes	37	6.007	6.321	6.225	
sole	37	6.046	7.368	6.304	
low	37	5.150	2.705	5.107	
fluxes	37	5.896	5.026	6.022	
their	36	3.865	1.490	4.270	
ammonia	36	5.881	5.660	6.107	
intermediates	36	5.934	6.509	6.207	
data	36	3.116	1.057	3.928	
flux	36	5.629	4.015	5.704	
temperature	35	4.407	1.971	4.608	
added	35	5.545	3.993	5.670	
production	35	4.772	2.370	4.872	
C.	34	3.114	1.102	3.948	
In	34	1.339	0.376	3.342	
effect	34	5.000	2.811	5.115	
enrichment	34	5.641	4.937	5.907	
up	34	5.191	3.188	5.309	
within	34	4.531	2.165	4.725	
combined	32	5.398	4.452	5.723	
phosphate	32	5.424	4.603	5.762	
's	32	3.891	1.680	4.365	
storage	31	5.356	4.717	5.755	
atom	31	5.519	6.838	6.033	
?	31	4.976	3.235	5.260	
both	31	3.863	1.707	4.371	
required	31	5.016	3.336	5.305	
demand	30	5.401	6.175	5.938	
efficiency	30	5.178	4.195	5.584	
form	30	4.854	3.135	5.189	
net	30	5.239	4.522	5.672	
red	29	4.647	2.866	5.034	
'	29	2.680	0.993	3.814	
expression	29	3.994	1.953	4.507	
*	29	-6.729	-1.170	1.915	
composition	29	4.662	2.897	5.049	
measurements	29	4.804	3.211	5.196	
ratios	29	5.089	4.183	5.546	
before	29	4.696	2.966	5.083	
isotherm	29	5.370	8.493	6.003	
without	29	4.791	3.181	5.183	
contents	28	5.189	5.687	5.797	
reduction	28	4.698	3.156	5.143	
all	28	2.831	1.105	3.889	
status	28	5.183	5.603	5.786	
increase	27	4.100	2.245	4.649	
biologically	27	5.147	6.723	5.839	
Fixation	27	5.192	10.209	5.920	
influence	27	4.777	3.630	5.300	
molecular	27	4.496	2.892	4.994	
hydrogen	27	4.894	4.105	5.450	
P.	26	2.338	0.885	3.696	
chronic	26	4.996	5.634	5.696	
changes	26	3.587	1.754	4.322	
methane	26	4.681	3.609	5.257	
associated	26	4.083	2.328	4.674	
W.	26	3.522	1.693	4.282	
sites	26	4.233	2.558	4.800	
upshift	26	5.094	10.071	5.865	
Biological	26	4.936	4.970	5.602	
will	26	3.875	2.059	4.516	
soils	25	4.620	3.718	5.256	
pathways	25	4.483	3.275	5.097	
until	25	4.747	4.302	5.420	
regulator	25	4.860	5.163	5.585	
Nature	25	2.467	0.981	3.756	
along	25	4.432	3.137	5.042	
growth	25	3.230	1.499	4.132	
Soil	25	4.784	4.530	5.471	
S.	25	1.164	0.382	3.280	
saturation	25	4.926	6.079	5.690	
only	25	3.189	1.465	4.109	
denitrification	25	4.897	5.598	5.642	
elevated	25	4.786	4.545	5.474	
its	25	3.236	1.503	4.135	
via	24	4.405	3.311	5.075	
because	24	3.850	2.223	4.565	
relative	24	3.899	2.292	4.603	
these	24	1.563	0.554	3.410	
bioavailable	24	4.888	8.860	5.740	
climate	24	3.222	1.547	4.146	
plants	24	4.242	2.898	4.905	
gene	24	2.520	1.042	3.788	
then	23	3.646	2.060	4.445	
fertilizers	23	4.781	8.364	5.672	
measured	23	3.906	2.430	4.648	
leaf	23	4.593	4.560	5.382	
influences	23	4.687	5.464	5.520	
energy	23	3.816	2.291	4.575	
ammonium	23	4.621	4.778	5.422	
H.	23	2.567	1.105	3.818	
recycling	23	4.737	6.350	5.599	
ocean	23	3.746	2.191	4.520	
acquisition	23	4.644	4.981	5.455	
pools	23	4.700	5.639	5.539	
increases	23	4.309	3.300	5.032	
example	22	3.341	1.797	4.262	
process	22	3.920	2.607	4.703	
1	22	-0.939	-0.263	2.704	
limiting	22	4.586	5.486	5.466	
two	22	2.212	0.921	3.665	
amounts	22	4.467	4.389	5.296	
oxidized	22	4.590	5.540	5.471	
biomass	22	4.143	3.100	4.917	
following	22	4.093	2.973	4.866	
2	22	0.105	0.033	2.958	
balance	22	4.466	4.387	5.296	
terrestrial	22	4.377	3.905	5.181	
most	22	2.996	1.469	4.052	
higher	21	3.482	2.058	4.388	
View	21	2.515	1.149	3.812	
regulatory	21	4.281	3.928	5.137	
across	21	3.783	2.518	4.626	
incorporation	21	4.455	5.170	5.369	
processes	21	3.760	2.478	4.606	
release	21	4.201	3.588	5.042	
window	21	2.959	1.497	4.048	
+	21	1.272	0.469	3.303	
fixer	21	4.580	10.900	5.562	
retention	21	4.496	5.720	5.429	
yeast	21	4.294	3.991	5.153	
For	21	2.883	1.431	4.004	
E.	21	1.715	0.676	3.464	
waste	21	4.519	6.169	5.464	
potential	20	3.392	2.050	4.351	
argon	20	4.437	6.997	5.440	
primary	20	3.901	2.970	4.782	
protein	20	1.972	0.839	3.569	
TN	20	4.456	8.140	5.470	
pool	20	4.285	4.580	5.221	
crenarchaeota	20	4.454	7.913	5.466	
constraints	20	4.319	4.872	5.268	
budgets	20	4.445	7.373	5.453	
level	20	3.458	2.141	4.401	
base	20	4.236	4.241	5.156	
inventory	19	4.315	6.639	5.354	
determined	19	3.532	2.399	4.493	
present	19	3.208	1.921	4.247	
versus	19	3.904	3.262	4.840	
Massive	19	4.350	8.888	5.407	
where	19	3.078	1.767	4.159	
B.	19	2.020	0.898	3.592	
photosynthesis	19	4.160	4.455	5.138	
much	19	3.643	2.606	4.588	
Microbial	19	4.029	3.722	4.977	
doped	19	4.336	7.550	5.385	
transport	19	3.746	2.830	4.682	
loading	19	4.210	4.872	5.204	
